Collection Period,"Department/
Agency Name",Agency Short Name,Project ID,Project Title,Government Domain,ICT Project Category,Description,Stage,Benefit Category  ( Benefit Type),Date of Closure/ Postponement,PM Methodologies,Initiation Start Date,Planned Initiation End Date,Revised Initiation End Date,Business Case Approval Date,Planned Initiation Cost,Revised initiation Cost,Planned Delivery Start Date,Revised Delivery Start Date,Planned Delivery End Date,Revised Delivery End Date,Planned Delivery Cost,Revised Delivery Cost,Q1 21-22,Q2 21-22,Q3 21-22,Q4 21-22,Q1 22-23 (Current),Reporting  Comments
Q1 22-23,"Department of Environment, Land, Water and Planning",DELWP,3100,Victorian Water Register Transform Project,Environment and Water,Management of Process,"The project will deliver a new Victorian Water Register(VWR) to improve service delivery, information sharing and to ensure the equitable sharing of water and continuous improvement in the integrity security and reliability of Victoria's water market",Initiated,,,PRINCE2,25-10-20,30-06-21,30-09-22,,"$1,467,715","$5,276,394",,,,,,,,,,,,The initiation stage has progressed with work on project discovery continuing as part of preparation for the project to transition into the delivery stage.
Q1 22-23,HealthShare Victoria,HealthShare,3102,Setup HealthShare Victoria in FMIS & WMS,Health,Supply Chain Management,Establish HealthShare Victoria as a new operating unit with Oracle eBusiness and configuring Warehouse Management Solution for the new HealthShare Victoria supply chain.,Delivery,"Cost Reduction (Financial), Efficiency/Productivity (Non Financial)",,PRINCE2,01-06-20,30-06-20,,21-09-20,"$63,313",,21-09-20,21-09-20,30-06-21,21-12-22,"$1,200,000","$5,634,687",Amber,Amber,Amber,Amber,Amber,FMIS is operational. Project closure will occur upon resolution of remaining FMIS defects. There is no impact to business operations.
Q1 22-23,CenITex,CenITex,3107,Data Centre Core Network Refresh,Government and Economy,Assets/Materials Management,To remediate the biggest risk areas of the Cenitex core datacenter infrastructure through the procurement and installation of high performance and contemporary network infrastructure.,Closed - Completed,"Cost Reduction (Financial), Efficiency/Productivity (Non Financial)",30-07-22,PRINCE2,28-09-20,19-11-20,,19-11-20,$0,,11-01-21,,10-09-21,30-07-22,"$2,119,306","$2,601,356",Green,Green,Green,Green,Green,Project has now been closed
Q1 22-23,Chisholm Institute of TAFE,Chisholm TAFE,3114,Unified Communications & Audio-Visual Refresh (UC/AV),Education,Collaboration,Deploy a technology solution that improves team productivity through enhanced communications & collaboration.  The key components of the solution include deployment of Microsoft Teams Telephony and a refresh of AV equipment across campuses.,Delivery,"Customer Satisfaction (Non Financial), Efficiency/Productivity (Non Financial), Workforce Satisfaction (Non Financial)",,Waterfall/Agile,01-07-20,01-09-20,,01-09-20,"$175,000",,02-09-20,,30-06-21,16-12-22,"$2,023,554",,Amber,Amber,Amber,Amber,Green,"Project deliverables progressed.
Date revision approved by Project Sponsor."
Q1 22-23,Department of Health,DH,3118,TIBCO Upgrade Implementation,Health,Development and Integration,"The project will upgrade the existing TIBCO platform to a more recent supported version, thereby mitigating the risks associated with outdated software and ensuring continuity of Vendor support.",Delivery,"Compliance (Non Financial), Risk Reduction (Non Financial)",,PRINCE2,01-06-19,17-04-20,,13-11-20,"$271,632",$0,21-06-21,,31-08-22,30-11-22,"$3,900,000","$3,813,980",Green,Green,Amber,Green,Amber,Project is progressing but is reporting Amber status pending approval of remaining funding to complete.
Q1 22-23,Western Health,WH,3125,Western Health - Identity Access Management (IAM),Health,Security Management,An IAM system is the means to provide a secure and trusted identity of employees across Western Health. This is currently housed and managed by Melbourne Health and this project will migrate the IAM from Melbourne Health to Western Health,Delivery,Efficiency/Productivity (Non Financial),,PRINCE2,30-10-20,29-01-21,,19-04-21,$0,,19-04-21,,28-02-22,13-01-23,"$1,896,000","$1,773,789",Amber,Amber,Amber,Green,Green,Schedule of the preceding project has been confirmed and the schedule for this project confirmed accordingly. Status now GREEN
Q1 22-23,Melbourne Water,MELB Water,3126,Security access management for Contractors,Environment and Water,"Data Management,Human Resources,Security Management",The security access management for contractors project will implement an identity and access management solution for the enterprise.  The outcome will deliver further improved digital security and role based permissions.,Postponed,,14-07-21,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),30-09-20,28-01-21,20-04-21,,$0,,,,,,$0,,,,,,,Business Case not approved in it's current form.  Change request raised and approved on 14th July to move the project from Year 1 to Year 3 of Water Plan 5.  Recommencement of project and Business Case re-write to be scheduled for early 2023 calendar year.
Q1 22-23,Department of Transport,DOT,3128,Smarter Roads Program - Situational Awareness Platform (formerly-Creating More Road Space),Transport and Vehicles,"Analyses and Statistics ,Business Intelligence,Communication,Knowledge Discovery",Objective of this project is to develop a enterprise wide Situational Awareness (SA) Platform. The platform will provide a view of the metro transport network and provide situational awareness for the operators in the Traffic Management Centre (TMC).,Delivery,"Customer Satisfaction (Non Financial), Efficiency/Productivity (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),05-10-20,30-06-21,14-06-21,14-06-21,$0,,21-06-21,,30-06-22,31-12-22,$0,"$35,800,128",Green,Green,Green,Green,Amber,"Overall project status is amber due to schedule issues. Deployment planning Testing, communications and change management activities are ongoing."
Q1 22-23,Goulburn Valley Region Water Corporation,GVR Water,3130,Billing and Customer Relationship Management System,Environment and Water,Customer Relationship Management,"The project will replace Goulburn Valley Water's existing legacy billing and CRM systems with a modern, efficient and customer focused system",Initiated,,,Internal project management methodology,01-10-18,30-06-21,30-06-23,,"$75,000","$245,000",,,,,,,,,,,,GVW is currently reviewing the schedule for this project following recent major floods.
Q1 22-23,Department of Transport,DOT,3132,Creating More Road Space- Integrated View of Disruptions,Transport and Vehicles,"Analyses and Statistics ,Business Intelligence,Customer Initiated Assistance,Customer Preferences,Visualisation",Objective of this project is to deliver value-add information to end users that will assist in understanding how congestion or disruptions are affecting a car journey and assist in shifting behaviors (i.e. mode of travel) to reduce congestion.,Initiated,,,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),19-10-20,31-03-21,25-11-22,,$0,,,,,,,,,,,,,Project requirements and options analysis activities are ongoing.
Q1 22-23,Monash Health,Monash H,3140,Monash Health - The Victorian Heart Hospital (VHH) Electronic Medical Record (EMR) System,Health,Records Management,"Implementation of EMR system for the Victorian Heart Hospital to streamline management of clinical documentation, results and patient medication to enable appropriate patient treatments",Delivery,Efficiency/Productivity (Non Financial),,PRINCE2,14-09-20,04-11-20,,04-11-20,$0,"$4,867,018",04-01-21,,17-02-23,23-02-23,"$26,005,275","$21,138,257",Amber,Amber,Green,Green,Green,The overall project remains on track for planned Go-Live Feb 2023.
Q1 22-23,Department of Premier and Cabinet,DPC,3143,Single digital solution for coronavirus (COVID-19) reporting (Insights Victoria),Government and Economy,"Analyses and Statistics ,Reporting ,Visualisation",A single digital reporting platform containing whole of government coronavirus (COVID-19) data to increase the Government�s responsiveness during the coronavirus (COVID-19) pandemic.,Delivery,"Efficiency/Productivity (Non Financial), Risk Reduction (Non Financial)",,Agile,16-07-20,24-07-20,,24-07-20,$0,,27-07-20,,31-01-21,30-06-23,"$4,643,000","$19,292,813",Green,Green,Green,Green,Green,"Due to the successful product delivery of the previous period, additional product scope has been added with State Budget allocated funding. The project will now continue to June 2023."
Q1 22-23,Department of Transport,DOT,3147,Smarter Roads Program - Data Fusion Model,Transport and Vehicles,"Analyses and Statistics ,Business Intelligence,Customer Initiated Assistance,Customer Preferences","Objective of this project is to provide:
1.Multi-modal journey planning that encompasses tools to help them re-plan and understand alternative journey options in real time.
2. Real-time disruption information to customers to plan their journey.",Delivery,"Efficiency/Productivity (Non Financial), Social Improvement (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),02-11-20,30-06-21,,30-06-21,$0,,02-08-21,,30-06-22,31-12-22,$0,"$12,103,458",Green,Green,Green,Green,Green,"Overall project status is green. Delivery continuing, pre-release testing in progress."
Q1 22-23,Alfred Health,ALFRED,3156,ARIA Database Merge and Managed Service Implementation,Health,Records Management,"Database merge and consolidation of Alfred Health Radiation Oncology Application �ARIA� to a single instance, cloud-based, vendor-managed and hosted service",Delivery,"Cost Avoidance (Financial), Increased Quality (Non Financial), Risk Reduction (Non Financial), Workforce Satisfaction (Non Financial)",,PRINCE2,01-03-21,30-06-21,,30-06-21,$0,"$235,544",01-07-21,,20-12-22,30-03-23,"$1,708,056",,Green,Green,Green,Green,Amber,The major component of the project has been completed with all hospital departments upgraded and moved onto the cloud. The project status is Amber because of resourcing constraints from a partner entity that impacted the schedule for the decommission component. There has been no budget impact and is being closely monitored by the steering group with risk mitigation plans in place.
Q1 22-23,Melbourne Health,Melb H,3159,Unified Communications � Telephony Upgrade Project,Health,"Collaboration  ,Communication,Systems Management",This project will upgrade the Melbourne Health telephony system to replace the old existing ISDN / PSTN / analogue PABX and phone infrastructure with digital SIP trunks and VoIP phones that provide unified communication and enhanced collaboration.,Delivery,"Compliance (Non Financial), Cost Reduction (Financial), Customer Satisfaction (Non Financial), Risk Reduction (Non Financial)",,PRINCE2,01-02-21,30-06-21,,30-06-21,$0,"$50,000",01-07-21,,30-06-22,28-02-23,"$4,326,000",,Green,Green,Green,Green,Green,Project progressing to schedule.
Q1 22-23,Melbourne Health,Melb H,3160,Office 365 Implementation Project,Health,"Collaboration  ,Content Management,Systems Management","Extensive technical and change management project to implement the required foundation, application and governance  layers for Melbourne Health to deploy and adopt the full collaboration potential of the Microsoft Office 365 suite.",Delivery,"Compliance (Non Financial), Efficiency/Productivity (Non Financial), Increased Quality (Non Financial)",,PRINCE2,04-01-21,30-06-21,,30-06-21,$0,"$50,000",01-07-21,,30-06-22,28-04-23,"$3,532,700",,Green,Green,Green,Green,Green,"Project tracking to schedule, remaining on track to deliver the benefits and expected outcomes within budget."
Q1 22-23,Department of Premier and Cabinet,DPC,3165,Emergency Management Victoria-VCDI Partnership,Emergencies and Safety,"Data Management,Reporting ,Visualisation ,Analyses and Statistics ,Business Intelligence",The primary objective of this partnership is to rapidly and practically enhance EMV (including the State Control Centre) and the emergency management sector�s data and analytics capability in order to help it respond to major and complex emergencies,Delivery,"Increased Quality (Non Financial), Risk Reduction (Non Financial)",,Agile,11-01-21,22-01-21,,22-01-21,$0,,25-01-21,,30-06-22,30-12-22,"$2,300,000",,Green,Green,Green,Green,Green,Successful period of working together and product delivery to give EMV enhanced insights into emergency risk locations and where it can target its efforts.
Q1 22-23,Emergency Services Telecommunications Authority,ESTA,3167,Capability & Performance Project,Emergencies and Safety,Human Capital / Workforce Management,The Capability & Performance project is implementing SAP SuccessFactors (Core HR recruitment onboarding performance and goals modules) to provide ESTA with better workforce insights and improve talent and performance oversight,Closed - Completed,"Cost Avoidance (Financial), Efficiency/Productivity (Non Financial), Increased Quality (Non Financial), Workforce Satisfaction (Non Financial)",19-08-22,Project Management Excellence,28-07-20,04-12-20,,04-12-20,"$246,940",,05-12-20,,30-08-21,19-08-22,"$1,537,583","$3,132,630",Red,Red,Red,Green,Green,"The project has been delivered. The project was closed in August 2022 following completion of major milestones and technical go-live success factors. As part of the transition to business as usual, activities will be undertaken by operational teams to further utilise and enhance the system as delivered."
Q1 22-23,Department of Justice and Community Safety,DJCS,3168,Post Sentence Authority Case Management System,Law and Justice,Tracking and Workflow,This project will deliver a fit-for-purpose case management system for the Post Sentencing Authority.,Initiated,,,Agile,30-03-21,15-07-21,30-12-22,,"$150,000","$363,395",,,,,,,,,,,,The initiation phase of the project concluded at the end of September 2022. The agreed deliverables from initiation will be provided by the vendor by the middle of October 2022. Next steps are to revisit the scope in the business requirements document and then release a Request for Quote to the market.
Q1 22-23,Department of Justice and Community Safety,DJCS,3170,Technology and resources to support Victoria�s fines system,Law and Justice,Systems Management,"Delivery of next generation of fines platform by incrementally implementing functions into the business landscape to complement existing technology, ensuring better revenue collection, assistance for vulnerable Victorians and debtor-centric services.",Delivery,"Customer Satisfaction (Non Financial), Increased Revenue (Financial)",,Hybrid - Waterfall and Agile,10-03-21,30-08-21,16-12-21,16-12-21,$0,"$10,367,000",09-01-22,01-01-22,30-06-25,,"$131,615,000",,,,Green,Green,Amber,"The Program remains on schedule for the November 2022 release, however, there is little contingency for defect resolution through the current System Integration Testing (SIT) and subsequent User Acceptance Testing (UAT) phases hence the amber status. The Program continues to monitor the SIT schedule and quality and develop any risk mitigation plans."
Q1 22-23,Department of Justice and Community Safety,DJCS,3171,Better Technology Tools Enabling Responsibility (BTTER),Law and Justice,Development and Integration,"Deliver applications to automate processes, reduce costs and risks associated with existing manual systems to deliver safety and cost benefits. The project will provide access to rehabilitation and reintegration services through in-cell technology.",Delivery,"Compliance (Non Financial), Efficiency/Productivity (Non Financial)",,Project Management Excellence,21-07-20,19-02-21,,19-02-21,"$324,114",,22-02-21,,30-06-23,,"$18,868,800","$12,059,825",Amber,Amber,Green,Amber,Green,"Overall the project is on track, with the project plan updated following additional approved funding for 2022-23.
Delivery of minimum viable product for operations is on track.
The automation stream is on track for delivery of 8 to 10 modules by June 2023 with Module 1 and 2 complete and Module 3 delivery in progress."
Q1 22-23,Department of Justice and Community Safety,DJCS,3172,JKE Upgrade & Linux Migration,Law and Justice,Development and Integration,This project is to transition the Justice Knowledge Exchange (JKE) Enterprise Service Bus from Solaris to Linux platforms and upgrades it to webMethods version 10.,Delivery,Compliance (Non Financial),,Project Management Excellence,01-07-20,31-08-20,,31-08-20,"$26,466",,01-09-20,,28-02-22,28-02-23,"$1,664,286","$1,796,869",Green,Red,Amber,Amber,Amber,"Project is in delivery phase, production migration will commence in November 2022. Project and business resource availability remains an issue. Due to the absence of a project PM in the last quarter project estimated costs have been lower; project 2IC remains the lead in delivery."
Q1 22-23,Central Highlands Region Water Corporation,CHR Water,3174,SCADA Field Hardware Replacement Program -SCADA Radio Network Asset Replacement Program,Environment and Water,"Communication,Business Intelligence,Data Management,Security Management",Replacement of end of asset life hardware used to Monitor and Control Critical Infrastructure Assets,Delivery,"Compliance (Non Financial), Risk Reduction (Non Financial)",,Internal Framework,01-07-18,17-05-19,,17-05-19,$0,,01-07-19,,30-06-23,,"$2,600,000","$2,780,000",Green,Green,Green,Green,Green,Still on track to be completed in expected timeframe.  Some additional costs due to additional Security being implemented
Q1 22-23,Melbourne Water,MELB Water,3180,Digital Education and Engagement Services,Environment and Water,Communication,Melbourne Water has a Water Act obligation through the Statement of Obligations to educate schools about Water Literacy and our range of services. This 3 year program will focus on encouraging water literacy across the school community.,Delivery,"Cost Avoidance (Financial), Customer Satisfaction (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),25-02-21,01-07-21,02-12-21,20-12-21,$0,,20-12-21,,30-05-24,,"$1,804,843",,,Green,Green,Green,Green,"IT Portfolio Prioritisation was completed, and this project was approved to proceed as per plan.  Frog Census App project has been completed.  Digital Learning Gateway concept design was completed and approved and Vendor now working through technical discovery to define implementation options.  Discovery work on the Virtual Tour Sites Expansion was put on hold due to resource capacity, and higher priority of other projects that are inflight, this will now be kicked off again in October."
Q1 22-23,"Department of Jobs, Precincts and Regions",DJPR,3181,Jobs Victoria Digital Services build,Employment and Workplace,"Customer Initiated Assistance,Customer Relationship Management,Tracking and Workflow","This project will deliver the digital services to support connecting jobseekers and employers smarter, faster and effectively through a tailored and integrated digital platform.",Delivery,"Efficiency/Productivity (Non Financial), Social Improvement (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),16-11-20,16-05-21,,17-05-21,"$1,000,000",,17-05-21,,30-06-22,31-10-22,"$9,240,675","$8,983,436",Amber,Amber,Amber,Red,Amber,All planned project deliverables to date have been achieved with new digital capabilities launched to Jobs Victoria team and partners.  The delivery of the last stage of work is underway and the project will be completed as planned.
Q1 22-23,Department of Premier and Cabinet,DPC,3191,Email Fraud Defence (DMARC),Government and Economy,Security Management,"Implementing DMARC (Domain-based Message Authentication, Reporting and Conformance) will make it significantly harder to send fake emails claiming to be from the Victorian government & will help prevent fraud to the Victorian government & citizens.",Delivery,"Cost Reduction (Financial), Risk Reduction (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),26-10-20,31-05-21,,04-06-21,"$170,672",,04-06-21,,29-12-23,,"$5,829,328",,Green,Green,Green,Green,Green,Project tracking well to the approved schedule and budget.
Q1 22-23,Yarra Valley Water,YV Water,3192,Firewall Upgrade,Environment and Water,Security Management,End of life Firewalls to be upgraded as they are our first line of defence against Cyber Security attacks,Delivery,Compliance (Non Financial),,Waterfall,15-03-21,31-12-21,31-03-21,01-04-21,"$130,000",,01-04-21,,31-12-21,30-11-22,"$1,008,000","$1,105,020",Green,Green,Green,Green,Green,Remote access being rolled back from pilot team and moved to close phase.
Q1 22-23,Melbourne Convention and Exhibition Centre,MCEC,3194,MCEC Core Systems Uplift,Business and Industry,"Financial Management,Tracking and Workflow",The CSU project will provide uplifted Finance and Event & Venue Management systems. It will utilise improved technology in the form of cloud infrastructure and software to fit our future state roadmap.,Closed - Completed,Efficiency/Productivity (Non Financial),01-08-22,Agile,13-01-20,18-12-20,,18-12-20,"$150,000","$221,600",15-01-21,,30-04-22,30-09-22,"$1,334,184","$2,405,403",Amber,Green,Amber,Green,Green,Project closed scope delivered.
Q1 22-23,Department of Justice and Community Safety,DJCS,3199,Registry System Replacement - RTBA,Community Services,Customer Relationship Management,"This project will deliver an enhanced, updated solution to the Residential Tenancies Bond Authority legacy systems which are reaching end of life. The solution will ensure alignment to the business vision.",Delivery,Efficiency/Productivity (Non Financial),,Hybrid - Waterfall and Agile,12-04-21,31-12-21,28-02-22,28-02-22,"$975,000",,01-03-22,,30-06-23,,"$8,900,000","$9,310,560",,,,Green,Green,"Project commenced on 12 April 2021 (note this project picks up the now terminated Registry System Replacement (2833) project). 
Project is now in implementation phase. 
Schedule is being reviewed to fine-tune milestones."
Q1 22-23,Department of Premier and Cabinet,DPC,3200,Local Jobs First Policy Intelligence Engine,Business and Industry,"Analyses and Statistics ,Business Intelligence,Data Management","DJPR have partnered with DPC to develop a policy intelligence engine to improve the effectiveness of the Local Jobs First policy. 
The technology solution will support an uplift in capability to improve the delivery of important policy.",Delivery,"Customer Satisfaction (Non Financial), Efficiency/Productivity (Non Financial)",,Agile,01-12-20,11-02-21,,11-02-21,$0,,01-05-21,,30-06-23,,"$2,400,000",,Green,Green,Green,Green,Green,It has been a successful quarter with the delivery team continuing to working in alignment with the business owners.
Q1 22-23,Department of Transport,DOT,3201,Dynamics 365 - Permits Customer Portal,Transport and Vehicles,"Customer Initiated Assistance,Development and Integration ,Management of Process",Objective of this project is to develop minimum viable product for Permits Customer Portal.,Delivery,"Cost Reduction (Financial), Customer Satisfaction (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-06-21,30-06-21,,30-06-21,$0,,01-07-21,,30-06-22,30-10-22,"$3,200,000","$3,430,000",Amber,Amber,Green,Green,Green,Overall project status is green.  Project is on track.  Technical implementation is scheduled for October 2022. Phase 2 discussion is in progress.
Q1 22-23,Department of Education and Training,DET,3203,Infrastructure Portfolio Management (IPM),Education,"Investment Management,Management of Process",This project will procure and implement a new SaaS portfolio management system to facilitate effective and efficient infrastructure planning and delivery and improve organisational capability through coordination and delivery of business functions.,Delivery,"Compliance (Non Financial), Efficiency/Productivity (Non Financial), Increased Quality (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),22-04-21,31-10-21,30-11-21,01-12-21,"$111,310",,01-12-21,,31-12-22,18-05-23,"$6,738,690",,,Green,Green,Green,Green,"The project is tracking well against scope budget and schedule. 
Since the last reporting period the project board has approved the revised release timelines, in line with the implementation approach.
Project has progressed testing and data migration activities in scope for the first pilot release. Work has focused on resolving identified exceptions before progressing to end user testing and training prior to production deployment."
Q1 22-23,Department of Education and Training,DET,3207,VISIT 2-0,Education,"Knowledge Management ,Management of Process",This project will provide additional functionality to the first release of the Victorian International Student Information Tool (VISIT) to enable DET and Government school staff to support the International Student Program processes more efficiently.,Closed - Completed,"Compliance (Non Financial), Cost Reduction (Financial)",31-08-22,Agile,15-04-21,27-08-21,01-10-21,01-10-21,"$65,000",,01-10-21,,30-06-22,31-08-22,"$1,500,000",,,Green,Green,Green,Green,"The project's last feature the Online Application Management (OAM) portal was successfully launched on August 1st 2022. All current users were transferred to the new portal and have given it a very positive response.
With the launch of the new OAM portal VISIT 2.0 has successfully delivered all of the scoped capabilities. The upgraded version of the VISIT application is working as anticipated and it has been moved to BAU for ongoing application support.
The VISIT 2.0 project has now been fully implemented.
This will be the final report for the VISIT 2.0 project."
Q1 22-23,Department of Education and Training,DET,3208,eduSafe Plus � Phase 2,Education,Human Capital / Workforce Management,"The project will deliver the functionality for managing incidents, OHS and workers� compensation using a platform-based approach.",Delivery,Efficiency/Productivity (Non Financial),,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),29-04-21,11-06-21,,11-06-21,$1,$0,14-06-21,,30-06-22,13-07-23,"$3,192,672","$4,296,404",Green,Green,Amber,Green,Amber,"The implementation of Minimum Viable Product for Claims Management (CM) and Workers Compensation (WC) functionality is completed. The pilot for both OHS and CM/WC is to start in October.
The contract with supplier has been extended post October 2022 and planning is underway for the remaining in scope work to be delivered. The project budget as well as project delivery timeline will be re-baselined based on the approved approach taken."
Q1 22-23,CenITex,CenITex,3212,"DC Exit, Discovery, Re-Architecture and Migration - Stage 1",Government and Economy,Data Management,To delivery data centre discovery for all Government Shared Platform clients. In addition to the discovery also design a new landing platform and plan for migration of the services.,Delivery,"Compliance (Non Financial), Cost Avoidance (Financial), Cost Reduction (Financial), Efficiency/Productivity (Non Financial), Risk Reduction (Non Financial)",,PRINCE2,29-03-21,20-04-21,,06-05-21,$0,,10-06-21,,30-06-22,16-12-22,"$5,600,000",,Green,Green,Green,Green,Amber,"The project has been delayed and is under replanning due to a change in scope related to an expansion in the technologies being considered for implementation.

A key planning assumption was that the current  technologies would be maintained.  However, with further knowledge, the approach has changed whereby broader market investigation is being conducted via an RFI.  This has resulted in the detailed design completion being delayed but is expected to provide a more informed view of the market and increased solution options."
Q1 22-23,CenITex,CenITex,3213,"Hybrid Cloud, Mediation Layer - Stage 1",Government and Economy,Data Management,Cenitex will work closely with DPC to establish a program that will focus on enabling migration from the existing on-premise data centers to a HICT multi-cloud elastic environment to provide Government with secure and resilient access to the services,Delivery,"Compliance (Non Financial), Cost Avoidance (Financial), Customer Satisfaction (Non Financial), Efficiency/Productivity (Non Financial), Reputation (Non Financial)",,PRINCE2,29-03-21,25-05-21,,11-06-21,$0,,22-06-21,,30-06-22,31-12-22,"$3,650,000","$5,900,000",Green,Green,Green,Green,Amber,A decision was taken by Cenitex due to a dependency on the Cenitex Multi cloud roadmap to delay the commencement of the Cloud-Native minimum viable product (MVP) development. This approach is expected to minimise the risk of misalignment and potential rework.
Q1 22-23,Melbourne Water,MELB Water,3214,Strategic Relationship Management Tool Phase 1-2,Environment and Water,Collaboration,To enhance delivery of business goals by improvement in business capabilities and relationship management tools to allow ongoing management and continuity of relationships to achieve strategic improvements in organisational goals.,Postponed,"Efficiency/Productivity (Non Financial), Risk Reduction (Non Financial)",14-09-22,Agile,25-11-20,01-08-21,,04-11-21,$0,,04-11-21,,28-06-22,28-06-24,"$3,174,023",,,Green,Amber,Amber,Amber,"Due to IT Portfolio Prioritisation decision, SRM Project has been placed on HOLD until new FY (FY23/24). Project end date has been extended to end of FY 23/24 to align. The status will be re-reviewed for FY 23/24."
Q1 22-23,"Department of Families, Fairness and Housing",DFFH,3215,The Integrated Client and Case Management System (ICCMS) Infrastructure Refresh and Software Upgrade,Community Services,"Customer Relationship Management,Systems Management","The project will deliver a refreshed hardware/hosting and software  solution to the department's primary client and case management business system to ensure a stable, responsive and reliable platform.",Delivery,"Cost Avoidance (Financial), Cost Reduction (Financial), Risk Reduction (Non Financial)",,PRINCE2,01-10-20,13-11-20,,16-11-20,$0,,01-02-21,,31-12-22,25-08-23,"$4,350,000","$6,000,000",Green,Amber,Amber,Amber,Amber,Project is progressing however schedule has been extended due to procurement delays which have now been resolved. Project is amber pending approval to realign spending with revised schedule.
Q1 22-23,"Department of Environment, Land, Water and Planning",DELWP,3234,Digital Twin Victoria Program (DTV Program),Property and Planning,"Data Management,Knowledge Management","The DTV Program will recreate Victoria online so that government, industry and the community can collaborate to enhance real-world outcomes through shared data and technology leveraging spatial data, artificial intelligence, sensor data and more.",Delivery,"Cost Reduction (Financial), Eco Improvement (Non Financial), Increased Revenue (Financial), Social Improvement (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-06-20,28-07-20,,15-11-20,$0,,01-01-21,,30-06-24,,"$37,431,600",,Amber,Green,Green,Green,Green,The Program reported Green status. All workstreams are on track.
Q1 22-23,"Department of Environment, Land, Water and Planning",DELWP,3238,Digital Planning Reform Program,Property and Planning,"Data Management,Management of Process ,Reporting ,Tracking and Workflow,Visualisation",Digital Reform program will deliver a portal for Victoria with easy access to guidance information and services to reduce complexity and to provide greater consistency and certainty to users.,Delivery,"Customer Satisfaction (Non Financial), Efficiency/Productivity (Non Financial), Increased Quality (Non Financial)",,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-07-20,01-11-20,,01-11-20,$0,,29-03-21,,30-06-24,,"$15,755,000",,Green,Amber,Green,Green,Green,The program is now reporting an overall status as green. The program is tracking to schedule.
Q1 22-23,Department of Justice and Community Safety,DJCS,3239,E*Justice Upgrade,Law and Justice,Systems Management,The ?Upgrade of the E*Justice platform will refresh outdated software versions and databases to the latest versions. This will allow better maintenance and support for future initiatives.,Closed - Completed,Compliance (Non Financial),05-09-22,Project Management Excellence,26-02-21,07-04-21,,07-04-21,$0,,14-05-21,,01-04-22,31-08-22,"$1,431,900","$1,018,869",Amber,Amber,Green,Green,Green,All project activities have been completed and the project has now been closed.
Q1 22-23,Victorian Institute of Forensic Medicine,VIFM,3241,Replace Case Management System,Law and Justice,Customer Relationship Management,Case Management System (CRM) will be replaced to meet current business operations and reporting requirements and drive best practice in forensic investigations.,Delivery,Efficiency/Productivity (Non Financial),,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-07-21,07-01-22,,07-01-22,$0,"$350,000",07-01-22,,31-12-23,,"$5,650,000",,,,,Green,Green,Public tender process for CMS replacement closes on 20/10/2022. A business-led evaluation panel will assess the submissions in the coming months and tenderers advised of the outcome of this process in due course. Project is on track and progressing well.
Q1 22-23,Victorian Institute of Forensic Medicine,VIFM,3242,ICT Infrastructure Migration to the Cloud,Law and Justice,Systems Management,ICT Infrastructure Cloud Migration project will reduce the risk associated with aging ICT infrastructure,Delivery,Efficiency/Productivity (Non Financial),,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-07-21,30-06-22,03-01-22,03-01-22,$0,"$585,000",03-01-22,,30-06-24,,"$2,338,000",,,,,Green,Green,Phase 1 completed on schedule and on budget.
Q1 22-23,Office of Public Prosecutions,OPP,3243,Digital Innovation Project Prosecution Case Management,Law and Justice,Tracking and Workflow,Project to upgrade case management system and integrate with other core systems,Initiated,,,Agile,01-07-21,31-12-21,31-10-22,,"$300,000","$450,000",,,,,,,,,,,,Initiation delayed due to protracted legal negotiations with supplier. Revised initiation costs include preparatory work to 'reverse engineer' current case management system to fast track development during project delivery.
Q1 22-23,Department of Education and Training,DET,3245,Disability Inclusion Profile Facilitator,Education,Management of Process,The project will develop an IT system infrastructure that will facilitate the administration of the Disability Inclusion Profile in Victorian government schools from late 2021 to 2024 to support the Disability Inclusion Reform.,Delivery,Compliance (Non Financial),,Agile,15-07-21,31-01-22,,01-04-22,$0,,01-04-22,,30-06-23,,"$1,760,000",,,,,Green,Green,"The project is on track with the development of initial business processes and system requirements to support Disability Inclusion Profile activity in 2022. 
The vendor has delivered IT infrastructure to support the new facilitator workforce in line with the agreed contractual scope and essential requirements for service delivery. A range of enhancements were successfully delivered by the end of September 2022."
